Run,Players,Player,Satellites,Stations,ISL,Cost,Count,Min,Max,Avg,StdDev,StdErr,Total Cost,Total Value Avg,Total Value StdErr
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2150,2,2950,3000,2975,25,17.677669529663685,2150,2975,540.5465983613253
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2150,2,3200,3450,3325,125,88.38834764831843,2150,3325,655.343421421166
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2150,2,-100,2850,1375,1475,1042.9825022501575,2150,1375,539.8060994468291
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2150,2,3100,3150,3125,25,17.677669529663685,2150,3125,567.0648111106877
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2150,2,3100,3150,3125,25,17.677669529663685,2150,3125,567.0648111106877
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2200,2,-100,2850,1375,1475,1042.9825022501575,2200,1375,539.8060994468291
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2200,2,2500,3000,2750,250,176.77669529663686,2200,2750,619.8286053418316
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2250,2,2500,3000,2750,250,176.77669529663686,2250,2750,619.8286053418316
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2300,2,2900,3100,3000,100,70.71067811865474,2300,3000,584.6473295928067
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2350,2,2900,3100,3000,100,70.71067811865474,2350,3000,584.6473295928067
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2350,2,3100,3150,3125,25,17.677669529663685,2350,3125,567.0648111106877
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2350,2,3200,3350,3275,75,53.03300858899106,2350,3275,620.0403212695122
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2400,2,3200,3350,3275,75,53.03300858899106,2400,3275,620.0403212695122
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2500,2,2900,3100,3000,100,70.71067811865474,2500,3000,584.6473295928067
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2550,2,2900,3100,3000,100,70.71067811865474,2550,3000,584.6473295928067
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2550,2,3150,3250,3200,50,35.35533905932737,2550,3200,593.55128253589
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2550,2,3200,3350,3275,75,53.03300858899106,2550,3275,620.0403212695122
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2600,2,3200,3350,3275,75,53.03300858899106,2600,3275,620.0403212695122
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,2,1,true,2750,2,3150,3250,3200,50,35.35533905932737,2750,3200,593.55128253589
1.SmallSat@MEO6|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,1750,2,0,0,0,0,0,1750,0,0
1.MediumSat@MEO6|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,1950,2,0,0,0,0,0,1950,0,0
1.MediumSat@MEO6|SAR|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2100,2,2900,3350,3125,225,159.09902576697317,2100,3125,434.90300642787
1.MediumSat@MEO6|VIS|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2150,2,2950,3300,3125,175,123.74368670764581,2150,3125,646.4446031950456
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2150,2,2900,3350,3125,225,159.09902576697317,2150,3125,434.90300642787
1.MediumSat@MEO6|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2150,2,0,0,0,0,0,2150,0,0
1.SmallSat@MEO6|SAR|pSGL 1.SmallSat@MEO5|SAR|pSGL 1.SmallSat@MEO4|SAR|pSGL 1.GroundSta@SUR1|pSGL,1,0,3,1,false,2200,2,4300,4450,4375,75,53.03300858899106,2200,4375,735.1126614336063
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2200,2,2950,3300,3125,175,123.74368670764581,2200,3125,646.4446031950456
1.SmallSat@MEO6|VIS|pSGL 1.SmallSat@MEO5|SAR|pSGL 1.SmallSat@MEO4|SAR|pSGL 1.GroundSta@SUR1|pSGL,1,0,3,1,false,2250,2,3900,4350,4125,225,159.09902576697317,2250,4125,611.5681687269212
1.SmallSat@MEO6|VIS|pSGL 1.SmallSat@MEO5|VIS|pSGL 1.SmallSat@MEO4|SAR|pSGL 1.GroundSta@SUR1|pSGL,1,0,3,1,false,2300,2,4200,4400,4300,100,70.71067811865474,2300,4300,814.4937077718894
1.MediumSat@MEO6|SAR|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2300,2,2900,3350,3125,225,159.09902576697317,2300,3125,434.90300642787
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2350,2,5150,5450,5300,150,106.06601717798212,2350,5300,1017.7686991649919
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2350,2,2900,3350,3125,225,159.09902576697317,2350,3125,434.90300642787
1.MediumSat@MEO6|VIS|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2350,2,2950,3300,3125,175,123.74368670764581,2350,3125,646.4446031950456
1.SmallSat@MEO6|VIS|pSGL 1.SmallSat@MEO5|VIS|pSGL 1.SmallSat@MEO4|VIS|pSGL 1.GroundSta@SUR1|pSGL,1,0,3,1,false,2350,2,4400,4750,4575,175,123.74368670764581,2350,4575,902.8288874421331
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2400,2,2950,3300,3125,175,123.74368670764581,2400,3125,646.4446031950456
1.MediumSat@MEO6|SAR|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2450,2,4350,4400,4375,25,17.677669529663685,2450,4375,761.5773105863908
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2500,2,4350,4400,4375,25,17.677669529663685,2500,4375,761.5773105863908
1.MediumSat@MEO6|VIS|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2500,2,4050,4450,4250,200,141.42135623730948,2500,4250,646.8795289696528
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.SmallSat@MEO5|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2550,2,5150,5450,5300,150,106.06601717798212,2550,5300,1017.7686991649919
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2550,2,4350,4400,4375,25,17.677669529663685,2550,4375,761.5773105863908
1.MediumSat@MEO6|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2550,2,5000,5000,5000,0,0,2550,5000,885.2965604812887
1.MediumSat@MEO6|VIS|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2550,2,4800,5200,5000,200,141.42135623730948,2550,5000,779.4228634059948
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2550,2,5150,5450,5300,150,106.06601717798212,2550,5300,1017.7686991649919
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2550,2,4050,4450,4250,200,141.42135623730948,2550,4250,646.8795289696528
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2600,2,4800,5200,5000,200,141.42135623730948,2600,5000,779.4228634059948
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2600,2,4050,4450,4250,200,141.42135623730948,2600,4250,646.8795289696528
1.MediumSat@MEO6|VIS|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2650,2,4800,5200,5000,200,141.42135623730948,2650,5000,779.4228634059948
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2700,2,4850,5000,4925,75,53.03300858899106,2700,4925,832.331063940305
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|SAR|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2750,2,4850,5000,4925,75,53.03300858899106,2750,4925,832.331063940305
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2750,2,5150,5450,5300,150,106.06601717798212,2750,5300,1017.7686991649919
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2750,2,4600,5150,4875,275,194.45436482630055,2750,4875,1008.8359628799917
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|VIS|DAT|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2800,2,4600,5150,4875,275,194.45436482630055,2800,4875,1008.8359628799917
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2900,2,4850,5000,4925,75,53.03300858899106,2900,4925,832.331063940305
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|DAT|pSGL|pISL 1.MediumSat@MEO4|DAT|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2950,2,5150,5450,5300,150,106.06601717798212,2950,5300,1017.7686991649919
1.MediumSat@MEO6|VIS|SAR|pSGL|pISL 1.MediumSat@MEO5|VIS|SAR|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2950,2,4500,4800,4650,150,106.06601717798212,2950,4650,902.8496552582827
1.LargeSat@MEO6|VIS|SAR|DAT|pSGL|pISL 1.MediumSat@MEO5|VIS|pSGL|pISL 1.SmallSat@MEO4|pSGL|pISL 1.GroundSta@SUR1|pSGL,1,0,3,1,true,2950,2,4600,5150,4875,275,194.45436482630055,2950,4875,1008.8359628799917
